TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
199	119	151	151	152	192	40	1	41	7
198	117	151	151	152	190	38	1	39	8
196	143	181	181	182	183	1	1	2	13
196	140	176	176	177	178	1	1	2	18
196	131	165	165	166	167	1	1	2	29
194	154	192	192	193	194	1	1	2	0
193	153	191	191	192	193	1	1	2	0
193	111	144	144	145	182	37	1	38	11
192	151	190	190	191	192	1	1	2	0
191	150	189	189	190	191	1	1	2	0
191	126	162	162	163	164	1	1	2	27
189	116	149	149	150	185	35	1	36	4
186	127	163	163	164	165	1	1	2	21
185	110	144	144	145	176	31	1	32	9
185	109	143	143	144	169	25	1	26	16
184	113	144	144	145	169	24	1	25	15
183	106	136	136	137	167	30	1	31	16
180	107	137	137	138	168	30	1	31	12
179	125	160	160	161	162	1	1	2	17
174	103	133	133	134	163	29	1	30	11
172	136	170	170	171	172	1	1	2	0
171	114	145	145	146	147	1	1	2	24
170	115	149	149	150	151	1	1	2	19
169	133	167	167	168	169	1	1	2	0
169	99	131	131	132	162	30	1	31	7
164	96	126	126	127	160	33	1	34	4
163	102	133	133	134	135	1	1	2	28
162	95	124	124	125	155	30	1	31	7
160	108	141	141	142	143	1	1	2	17
158	105	134	134	135	136	1	1	2	22
157	121	155	155	156	157	1	1	2	0
156	100	131	131	132	133	1	1	2	23
155	104	134	134	135	136	1	1	2	19
153	97	127	127	128	129	1	1	2	24
152	93	122	122	123	147	24	1	25	5
147	94	122	122	123	132	9	1	10	15
146	112	144	144	145	146	1	1	2	0
145	91	120	120	121	129	8	1	9	16
140	89	118	118	119	125	6	1	7	15
139	90	120	120	121	122	1	1	2	17
138	92	122	122	123	132	9	1	10	6
137	86	115	115	116	117	1	1	2	20
133	87	117	117	118	119	1	1	2	14
129	98	127	127	128	129	1	1	2	0
128	83	111	111	112	113	1	1	2	15
127	88	118	118	119	122	3	1	4	5
126	76	102	102	103	104	1	1	2	22
125	77	102	102	103	104	1	1	2	21
123	71	95	95	96	97	1	1	2	26
121	85	114	114	115	116	1	1	2	5
120	82	109	109	110	111	1	1	2	9
119	78	102	102	103	104	1	1	2	15
116	81	108	108	109	110	1	1	2	6
115	84	113	113	114	115	1	1	2	0
115	79	103	103	104	105	1	1	2	10
114	73	97	97	98	99	1	1	2	15
110	72	96	96	97	98	1	1	2	12
109	80	103	103	104	105	1	1	2	4
104	70	95	95	96	97	1	1	2	7
104	67	90	90	91	92	1	1	2	12
103	64	87	87	88	89	1	1	2	14
101	75	99	99	100	101	1	1	2	0
101	74	99	99	100	101	1	1	2	0
97	69	95	95	96	97	1	1	2	0
97	65	88	88	89	90	1	1	2	7
96	68	94	94	95	96	1	1	2	0
96	62	84	84	85	86	1	1	2	10
94	57	76	76	77	81	4	1	5	13
92	63	85	85	86	87	1	1	2	5
92	59	79	79	80	82	2	1	3	10
91	66	89	89	90	91	1	1	2	0
89	56	74	74	75	76	1	1	2	13
89	53	71	71	72	73	1	1	2	16
88	47	66	66	67	68	1	1	2	20
